City,Zone,Week Number,Day,4 hour windows,Date,Time stamp date,Demand,Fulfilment %,Avg. Price,Avg. Trip Size,Cancellation % (Total),Driver Cancellation%,Customer Cancellation %,Avg. ETA,
Hyderabad,Zone 1,1,1,00:00 to 04:00,27-06-2019,27/06/2019 01:51:42,1127,70,170,15,11.0,1.7,9.3,14.3,
Hyderabad,Zone 1,1,1,04:00 to 08.00,27-06-2019,27/06/2019 05:48:02,1157,69,120,11,10.6,1.7,8.9,13.4,
Hyderabad,Zone 1,1,1,08:00 to 12:00,27-06-2019,27/06/2019 08:58:06,1199,66,211,12,30.7,4.8,25.9,5.9,
Hyderabad,Zone 1,1,1,12:00 to 16:00,27-06-2019,27/06/2019 13:24:44,1195,69,82,12,37.0,5.8,31.2,27.2,
Hyderabad,Zone 1,1,1,16:00 to 20:00,27-06-2019,27/06/2019 17:09:23,1157,72,196,10,33.6,5.3,28.3,19.8,
Hyderabad,Zone 1,1,1,20:00 to 00:00,27-06-2019,27/06/2019 20:33:19,1069,69,188,13,11.6,1.8,9.8,14.8,
Hyderabad,Zone 1,1,2,00:00 to 04:00,28-06-2019,28/06/2019 03:03:17,1094,68,168,12,18.2,2.8,15.3,2.2,
Hyderabad,Zone 1,1,2,04:00 to 08.00,28-06-2019,28/06/2019 04:10:14,1167,71,63,13,36.5,5.7,30.8,5.0,
Hyderabad,Zone 1,1,2,08:00 to 12:00,28-06-2019,28/06/2019 08:43:25,1179,66,162,4,9.0,1.4,7.6,0.6,
Hyderabad,Zone 1,1,2,12:00 to 16:00,28-06-2019,28/06/2019 12:19:20,1190,66,90,9,37.3,5.8,31.5,22.9,
Hyderabad,Zone 1,1,2,16:00 to 20:00,28-06-2019,28/06/2019 19:43:54,1173,75,194,14,45.1,7.1,38.1,17.9,
Hyderabad,Zone 1,1,2,20:00 to 00:00,28-06-2019,28/06/2019 21:38:39,1045,73,196,14,20.9,3.3,17.6,2.6,
Hyderabad,Zone 1,1,4,00:00 to 04:00,30-06-2019,30/06/2019 03:20:26,1177,75,151,13,34.7,5.4,29.3,12.8,
Hyderabad,Zone 1,1,4,04:00 to 08.00,30-06-2019,30/06/2019 04:39:39,1033,66,126,13,36.5,5.7,30.8,16.2,
Hyderabad,Zone 1,1,4,08:00 to 12:00,30-06-2019,30/06/2019 10:33:34,1101,69,143,5,11.2,1.8,9.5,0.6,
Hyderabad,Zone 1,1,4,12:00 to 16:00,30-06-2019,30/06/2019 14:07:09,1196,71,115,15,11.2,1.8,9.4,2.2,
Hyderabad,Zone 1,1,4,16:00 to 20:00,30-06-2019,30/06/2019 17:36:14,1193,72,207,5,34.0,5.3,28.7,13.8,
Hyderabad,Zone 1,1,4,20:00 to 00:00,30-06-2019,30/06/2019 23:28:18,1112,68,198,7,8.5,1.3,7.1,1.6,
Hyderabad,Zone 1,1,4,00:00 to 04:00,30-06-2019,30/06/2019 03:26:02,1007,65,145,13,27.0,4.2,22.7,16.1,
Hyderabad,Zone 1,1,4,04:00 to 08.00,30-06-2019,30/06/2019 04:28:57,1164,65,72,5,21.3,3.3,18.0,14.6,
Hyderabad,Zone 1,1,4,08:00 to 12:00,30-06-2019,30/06/2019 09:26:54,1089,68,207,9,43.4,6.8,36.6,19.1,
Hyderabad,Zone 1,1,4,12:00 to 16:00,30-06-2019,30/06/2019 15:20:45,1187,66,89,11,22.0,3.4,18.6,10.1,
Hyderabad,Zone 1,1,4,16:00 to 20:00,30-06-2019,30/06/2019 16:32:14,1196,68,200,13,31.6,4.9,26.7,15.9,
Hyderabad,Zone 1,1,4,20:00 to 00:00,30-06-2019,30/06/2019 22:46:57,1109,67,182,11,40.7,6.4,34.3,25.0,
Hyderabad,Zone 1,1,5,00:00 to 04:00,01-07-2019,01/07/2019 02:27:42,1095,75,140,14,44.3,6.9,37.4,18.5,
Hyderabad,Zone 1,1,5,04:00 to 08.00,01-07-2019,01/07/2019 05:53:32,1073,68,94,9,38.6,6.0,32.5,19.4,
Hyderabad,Zone 1,1,5,08:00 to 12:00,01-07-2019,01/07/2019 11:31:37,1061,74,209,15,27.0,4.2,22.8,15.6,
Hyderabad,Zone 1,1,5,12:00 to 16:00,01-07-2019,01/07/2019 14:22:09,1023,70,121,11,31.5,4.9,26.6,16.5,
Hyderabad,Zone 1,1,5,16:00 to 20:00,01-07-2019,01/07/2019 18:02:10,1133,68,190,8,30.3,4.7,25.6,15.6,
Hyderabad,Zone 1,1,5,20:00 to 00:00,01-07-2019,01/07/2019 20:23:36,1026,69,179,8,37.3,5.8,31.5,17.3,
Hyderabad,Zone 1,1,6,00:00 to 04:00,02-07-2019,02/07/2019 00:36:33,1032,69,162,9,39.6,6.2,33.4,17.5,
Hyderabad,Zone 1,1,6,04:00 to 08.00,02-07-2019,02/07/2019 05:10:57,1069,66,139,6,14.3,2.2,12.1,14.1,
Hyderabad,Zone 1,1,6,08:00 to 12:00,02-07-2019,02/07/2019 11:38:11,1069,71,204,9,20.6,3.2,17.3,3.1,
Hyderabad,Zone 1,1,6,12:00 to 16:00,02-07-2019,02/07/2019 13:00:26,1078,69,65,8,24.6,3.8,20.7,2.8,
Hyderabad,Zone 1,1,6,16:00 to 20:00,02-07-2019,02/07/2019 18:04:43,1099,65,182,14,23.9,3.7,20.2,3.6,
Hyderabad,Zone 1,1,6,20:00 to 00:00,02-07-2019,02/07/2019 20:04:02,1097,68,198,7,8.9,1.4,7.5,1.9,
Hyderabad,Zone 1,1,7,00:00 to 04:00,03-07-2019,03/07/2019 01:36:37,1071,65,141,5,35.6,5.6,30.1,18.4,
Hyderabad,Zone 1,1,7,04:00 to 08.00,03-07-2019,03/07/2019 04:22:17,1048,72,70,8,24.3,3.8,20.5,3.2,
Hyderabad,Zone 1,1,7,08:00 to 12:00,03-07-2019,03/07/2019 11:54:31,1057,74,154,7,13.3,2.1,11.2,9.0,
Hyderabad,Zone 1,1,7,12:00 to 16:00,03-07-2019,03/07/2019 14:11:43,1134,68,86,6,42.9,6.7,36.2,19.7,
Hyderabad,Zone 1,1,7,16:00 to 20:00,03-07-2019,03/07/2019 19:17:42,1113,65,202,12,37.7,5.9,31.8,15.3,
Hyderabad,Zone 1,1,7,20:00 to 00:00,03-07-2019,03/07/2019 21:29:45,1036,70,182,9,33.1,5.2,27.9,15.8,
Hyderabad,Zone 2,1,1,00:00 to 04:00,27-06-2019,27/06/2019 03:02:31,975,69,152,12,45.9,7.2,38.7,17.5,
Hyderabad,Zone 2,1,1,04:00 to 08.00,27-06-2019,27/06/2019 06:01:11,926,70,102,13,34.2,5.3,28.9,25.3,
Hyderabad,Zone 2,1,1,08:00 to 12:00,27-06-2019,27/06/2019 11:03:48,946,68,207,11,43.0,6.7,36.3,21.3,
Hyderabad,Zone 2,1,1,12:00 to 16:00,27-06-2019,27/06/2019 13:58:43,992,71,98,14,35.8,5.6,30.2,17.1,
Hyderabad,Zone 2,1,1,16:00 to 20:00,27-06-2019,27/06/2019 19:29:46,925,72,182,11,36.0,5.6,30.4,16.2,
Hyderabad,Zone 2,1,1,20:00 to 00:00,27-06-2019,27/06/2019 20:24:16,923,73,204,13,34.1,5.3,28.8,16.7,
Hyderabad,Zone 2,1,2,00:00 to 04:00,28-06-2019,28/06/2019 02:00:24,991,73,169,12,41.2,6.4,34.8,28.3,
Hyderabad,Zone 2,1,2,04:00 to 08.00,28-06-2019,28/06/2019 06:07:39,916,72,70,11,17.0,2.7,14.4,14.4,
Hyderabad,Zone 2,1,2,08:00 to 12:00,28-06-2019,28/06/2019 11:07:38,921,73,202,9,40.1,6.3,33.9,21.1,
Hyderabad,Zone 2,1,2,12:00 to 16:00,28-06-2019,28/06/2019 13:18:59,973,65,121,13,39.6,6.2,33.4,4.6,
Hyderabad,Zone 2,1,2,16:00 to 20:00,28-06-2019,28/06/2019 18:32:25,977,71,183,14,22.3,3.5,18.8,3.9,
Hyderabad,Zone 2,1,2,20:00 to 00:00,28-06-2019,28/06/2019 22:16:03,915,69,184,9,39.7,6.2,33.5,19.4,
Hyderabad,Zone 2,1,4,00:00 to 04:00,30-06-2019,30/06/2019 02:31:05,969,66,142,8,37.0,5.8,31.2,18.9,
Hyderabad,Zone 2,1,4,04:00 to 08.00,30-06-2019,30/06/2019 06:03:26,904,71,141,12,40.9,6.4,34.5,17.3,
Hyderabad,Zone 2,1,4,08:00 to 12:00,30-06-2019,30/06/2019 09:49:03,926,75,196,13,22.4,3.5,18.9,3.8,
Hyderabad,Zone 2,1,4,12:00 to 16:00,30-06-2019,30/06/2019 12:22:56,944,65,109,9,16.9,2.6,14.2,3.4,
Hyderabad,Zone 2,1,4,16:00 to 20:00,30-06-2019,30/06/2019 19:15:30,946,67,181,14,48.3,7.6,40.8,19.1,
Hyderabad,Zone 2,1,4,20:00 to 00:00,30-06-2019,30/06/2019 22:22:13,963,65,181,9,31.6,4.9,26.6,16.4,
Hyderabad,Zone 2,1,4,00:00 to 04:00,30-06-2019,30/06/2019 00:23:26,958,71,163,10,34.0,5.3,28.7,16.0,
Hyderabad,Zone 2,1,4,04:00 to 08.00,30-06-2019,30/06/2019 06:23:09,934,68,68,9,36.4,5.7,30.7,16.0,
Hyderabad,Zone 2,1,4,08:00 to 12:00,30-06-2019,30/06/2019 11:38:21,956,72,147,8,22.1,3.5,18.7,12.5,
Hyderabad,Zone 2,1,4,12:00 to 16:00,30-06-2019,30/06/2019 12:29:55,906,71,109,11,49.6,7.8,41.9,19.9,
Hyderabad,Zone 2,1,4,16:00 to 20:00,30-06-2019,30/06/2019 19:39:31,932,69,205,11,38.6,6.0,32.6,27.4,
Hyderabad,Zone 2,1,4,20:00 to 00:00,30-06-2019,30/06/2019 23:11:50,965,75,201,14,8.2,1.3,6.9,0.7,
Hyderabad,Zone 2,1,5,00:00 to 04:00,01-07-2019,01/07/2019 02:32:32,986,73,141,8,39.4,6.2,33.2,23.7,
Hyderabad,Zone 2,1,5,04:00 to 08.00,01-07-2019,01/07/2019 05:38:33,995,73,56,10,36.4,5.7,30.7,26.2,
Hyderabad,Zone 2,1,5,08:00 to 12:00,01-07-2019,01/07/2019 08:43:32,984,71,156,8,33.3,5.2,28.1,8.8,
Hyderabad,Zone 2,1,5,12:00 to 16:00,01-07-2019,01/07/2019 14:09:44,999,71,85,8,33.7,5.3,28.4,15.0,
Hyderabad,Zone 2,1,5,16:00 to 20:00,01-07-2019,01/07/2019 16:48:26,968,72,183,14,42.0,6.6,35.4,18.4,
Hyderabad,Zone 2,1,5,20:00 to 00:00,01-07-2019,01/07/2019 23:04:36,916,69,201,9,41.3,6.5,34.8,18.5,
Hyderabad,Zone 2,1,6,00:00 to 04:00,02-07-2019,02/07/2019 00:33:58,944,70,141,14,18.9,3.0,16.0,14.3,
Hyderabad,Zone 2,1,6,04:00 to 08.00,02-07-2019,02/07/2019 05:27:03,902,72,90,11,45.0,7.0,38.0,16.9,
