"booking id","booking_date_time","distance_travelled","time_taken","commission_base_cost","driver_base_cost","total_tax","total_trip_cost","ratings"
"1890061540","43249.919444444","17","58","57.73","230.91","21.94","311","3"
"1542148932","43153.925","18","43","52.04","208.16","19.76","279.96","5"
"1672692603","43194.882638889","2","5","19.7","78.81","7.49","106","5"
"1925600201","43258.932638889","15","49","51.24","239.96","21.22","312","5"
"1530845664","43150.479861111","46","0","195.92","783.68","74.45","1054.05","4"
"1773316272","43220.891666667","30","91","132.71","565.86","52.18","751","4"
"1602927461","43173.080555556","4","4","19.44","77.74","7.39","104.57","3"
"1915119412","43256.136111111","5","18","0","67.88","4.16","72","5"
"1793413698","43226.057638889","3","4","19.52","78.06","7.41","105","4"
"1870703124","43245.058333333","4","4","15.88","63.52","6.04","85","4"
"1539201134","43152.943055556","5","25","23.02","92.08","8.74","123.84","5"
"1644393205","43186.284027778","62","98","193.66","809.66","75.34","1079","4"
"1908175658","43254.693055556","21","71","120.34","353.02","39.32","513","5"
"1390900760","43104.509027778","6","29","28.75","115","10.93","155","5"
"1784780679","43223.897916667","5","29","34.14","136.54","12.96","184","4"
"1805478949","43228.973611111","24","55","100.48","401.92","38.18","541","3"
"1539270023","43152.980555556","12","34","35.6","142.4","13.53","191.53","4"
"1941831597","43262.994444444","15","44","47.03","223.1","19.63","290","3"
"1474429099","43132.89375","16","47","44.97","179.9","17.09","242","1"
"1395187600","43105.959027778","4","6","22.03","88.13","8.38","119","2"
"1703468961","43203.913194444","23","81","80.68","357.71","32.4","470.79","3"
"1897649867","43251.990277778","2","3","21.17","84.67","8.04","114","5"
"1561931118","43159.894444444","3","9","20.79","83.15","7.9","111.84","5"
"1643126208","43185.727083333","4","9","22.89","91.58","8.7","123.17","2"
"1951956883","43265.901388889","12","51","60.69","242.75","23.06","327","1"
"1455166985","43126.090972222","27","52","64.41","257.64","24.47","347","4"
"1785527517","43224.046527778","1","2","17.1","68.4","6.5","92","5"
"2008666914","43279.902777778","8","44","65.37","261.5","24.85","352","5"
"1412039709","43111.934027778","7","43","31.66","126.64","12.03","170","4"
"1870558905","43244.945138889","14","42","67.29","269.14","25.57","362","4"
"1643973974","43185.890972222","2","4","21.56","86.25","8.19","116","5"
"1901990208","43252.934027778","11","48","119.94","479.78","45.56","645","5"
"1490769879","43138.022222222","2","3","13.18","52.72","5.01","71","5"
"1519370301","43147.040972222","2","9","14.86","59.44","5.64","80","4"
"2002223114","43277.878472222","1","56","31.08","124.32","11.82","167","5"
"1696275631","43201.916666667","38","78","133.15","567.58","52.34","753.07","1"
"1848856145","43238.897916667","13","47","66.73","266.91","25.36","359","4"
"1717748576","43208.292361111","20","43","54.93","219.73","20.88","295.54","4"
"1848887648","43238.90625","11","48","95.2","380.79","36.18","512","4"
"1948423122","43264.895138889","5","33","44.44","177.78","16.89","239","4"
"1929730738","43259.909027778","2","6","17.47","69.89","6.63","94","5"
"1781133070","43222.909722222","16","45","52.88","211.51","20.1","284","1"
"OSN_834166903","43122.895833333","14","80.73","24.4","97.61","9.27","131","4"
"2002515457","43278.053472222","9","29","27.14","108.55","10.32","146","4"
"1971268677","43269.953472222","26","81","131.69","526.75","50.04","708","5"
"OSN_1046832143","43277.902777778","5","68.23","33.3","133.2","12.65","179","3"
"1773832592","43221.095833333","7","7","26.12","104.48","9.92","141","4"
"1653753569","43188.965972222","10","38","37.74","150.97","14.34","203.05","3"
"1870428300","43244.903472222","31","76","97.68","425.72","38.86","562","3"
"1672879503","43194.954166667","20","58","52.22","243.87","21.59","317.68","5"
"1814291201","43231.029166667","2","3","13.3","53.2","5.05","72","3"
