booking id,booking_date_time,distance_travelled,time_taken,commission_base_cost,driver_base_cost,total_tax,total_trip_cost,ratings,cluster_kmeans,cluster_gmm
1890061540,43249.919444444,17,58.0,57.73,230.91,21.94,311.0,3,1,2
1542148932,43153.925,18,43.0,52.04,208.16,19.76,279.96,5,3,1
1672692603,43194.882638889,2,5.0,19.7,78.81,7.49,106.0,5,3,0
1925600201,43258.932638889,15,49.0,51.24,239.96,21.22,312.0,5,5,5
1530845664,43150.479861111,46,0.0,195.92,783.68,74.45,1054.05,4,6,3
1773316272,43220.891666667,30,91.0,132.71,565.86,52.18,751.0,4,0,5
1602927461,43173.080555556,4,4.0,19.44,77.74,7.39,104.57,3,7,0
1915119412,43256.136111111,5,18.0,0.0,67.88,4.16,72.0,5,5,7
1793413698,43226.057638889,3,4.0,19.52,78.06,7.41,105.0,4,5,0
1870703124,43245.058333333,4,4.0,15.88,63.52,6.04,85.0,4,5,0
1539201134,43152.943055556,5,25.0,23.02,92.08,8.74,123.84,5,3,4
1644393205,43186.284027778,62,98.0,193.66,809.66,75.34,1079.0,4,6,5
1908175658,43254.693055556,21,71.0,120.34,353.02,39.32,513.0,5,0,6
1390900760,43104.509027778,6,29.0,28.75,115.0,10.93,155.0,5,3,4
1784780679,43223.897916667,5,29.0,34.14,136.54,12.96,184.0,4,5,4
1805478949,43228.973611111,24,55.0,100.48,401.92,38.18,541.0,3,0,1
1539270023,43152.980555556,12,34.0,35.6,142.4,13.53,191.53,4,7,4
1941831597,43262.994444444,15,44.0,47.03,223.1,19.63,290.0,3,1,5
1474429099,43132.89375,16,47.0,44.97,179.9,17.09,242.0,1,2,4
1395187600,43105.959027778,4,6.0,22.03,88.13,8.38,119.0,2,2,0
1703468961,43203.913194444,23,81.0,80.68,357.71,32.4,470.79,3,0,5
1897649867,43251.990277778,2,3.0,21.17,84.67,8.04,114.0,5,5,0
1561931118,43159.894444444,3,9.0,20.79,83.15,7.9,111.84,5,3,4
1643126208,43185.727083333,4,9.0,22.89,91.58,8.7,123.17,2,2,0
1951956883,43265.901388889,12,51.0,60.69,242.75,23.06,327.0,1,1,2
1455166985,43126.090972222,27,52.0,64.41,257.64,24.47,347.0,4,4,1
1785527517,43224.046527778,1,2.0,17.1,68.4,6.5,92.0,5,5,0
2008666914,43279.902777778,8,44.0,65.37,261.5,24.85,352.0,5,5,2
1412039709,43111.934027778,7,43.0,31.66,126.64,12.03,170.0,4,7,4
1870558905,43244.945138889,14,42.0,67.29,269.14,25.57,362.0,4,0,2
1643973974,43185.890972222,2,4.0,21.56,86.25,8.19,116.0,5,3,0
1901990208,43252.934027778,11,48.0,119.94,479.78,45.56,645.0,5,0,1
1490769879,43138.022222222,2,3.0,13.18,52.72,5.01,71.0,5,3,0
1519370301,43147.040972222,2,9.0,14.86,59.44,5.64,80.0,4,7,4
2002223114,43277.878472222,1,56.0,31.08,124.32,11.82,167.0,5,5,2
1696275631,43201.916666667,38,78.0,133.15,567.58,52.34,753.07,1,6,5
1848856145,43238.897916667,13,47.0,66.73,266.91,25.36,359.0,4,0,2
1717748576,43208.292361111,20,43.0,54.93,219.73,20.88,295.54,4,0,1
1848887648,43238.90625,11,48.0,95.2,380.79,36.18,512.0,4,0,1
1948423122,43264.895138889,5,33.0,44.44,177.78,16.89,239.0,4,5,2
1929730738,43259.909027778,2,6.0,17.47,69.89,6.63,94.0,5,5,0
1781133070,43222.909722222,16,45.0,52.88,211.51,20.1,284.0,1,1,1
OSN_834166903,43122.895833333,14,80.73,24.4,97.61,9.27,131.0,4,7,5
2002515457,43278.053472222,9,29.0,27.14,108.55,10.32,146.0,4,5,2
1971268677,43269.953472222,26,81.0,131.69,526.75,50.04,708.0,5,0,1
OSN_1046832143,43277.902777778,5,68.23,33.3,133.2,12.65,179.0,3,1,5
1773832592,43221.095833333,7,7.0,26.12,104.48,9.92,141.0,4,5,0
1653753569,43188.965972222,10,38.0,37.74,150.97,14.34,203.05,3,7,4
1870428300,43244.903472222,31,76.0,97.68,425.72,38.86,562.0,3,0,5
1672879503,43194.954166667,20,58.0,52.22,243.87,21.59,317.68,5,4,5
1814291201,43231.029166667,2,3.0,13.3,53.2,5.05,72.0,3,1,0
1412247726,43112.091666667,2,3.0,14.37,57.46,5.46,77.0,2,2,0
1539256031,43152.975694444,12,35.0,37.4,149.6,14.21,201.0,5,3,4
2002278184,43277.898611111,13,51.0,70.26,281.02,26.7,378.0,4,0,2
1513044400,43144.899305556,22,64.0,81.04,324.16,30.8,436.0,5,4,1
1429650966,43118.004861111,10,29.0,30.22,120.88,11.48,163.0,1,2,4
1522288862,43147.891666667,11,46.0,49.26,197.04,18.72,265.02,5,3,4
1581006946,43166.021527778,4,29.0,23.98,95.92,9.12,129.02,5,3,4
1814273936,43231.018055556,3,5.0,25.84,103.34,9.82,139.0,3,1,0
1944007201,43263.719444444,2,5.0,14.13,56.5,5.37,76.0,3,1,0
1721759372,43209.138194444,3,3.0,18.6,74.4,7.07,100.0,5,5,0
1725816876,43209.949305556,20,48.0,60.41,241.63,22.95,325.0,4,0,1
1386955051,43103.125,1,2.0,14.55,58.21,5.53,78.0,4,7,0
1653550083,43188.914583333,7,47.0,44.32,177.26,16.84,238.42,3,7,4
OSN_885789461,43158.993055556,2,5.55,9.11,36.43,3.46,49.0,5,3,0
1537682005,43152.595833333,31,72.0,85.84,403.36,35.62,524.82,5,4,5
1971347357,43269.965277778,10,30.0,56.13,224.54,21.33,302.0,3,1,2
OSN_942438277,43201.040277778,8,19.7,11.87,47.5,4.52,64.0,2,1,1
1522504301,43147.961805556,2,22.0,23.92,95.66,9.09,129.0,5,3,4
1650218017,43187.901388889,9,37.0,43.93,175.7,16.7,236.33,5,3,4
1490780750,43138.036805556,2,2.0,15.09,60.38,5.74,81.0,5,3,0
1666836418,43192.894444444,12,49.0,39.69,158.74,15.08,213.51,4,7,4
1942042449,43263.29375,35,76.0,126.28,575.12,51.5,679.0,5,0,3
1521753390,43147.821527778,2,4.0,23.6,94.4,8.97,126.97,5,3,0
1813736066,43230.909027778,22,52.0,96.7,386.78,36.75,520.0,4,0,1
2008705648,43279.911805556,9,26.0,40.3,161.2,15.32,217.0,3,1,2
